"NA.","NA..1","NA..2","NA..3","Tipo","NA..4","Absolutos","Relativos"
,,,,"Amenazas verbales",,65211,9.67350026701478
,,,,"Fraude al consumidor",,52467,7.78303566130659
,,,,"Vandalismo",,47227,7.00572598350442
,,,,"Total",,455998,67.6434462706936
,,,,,,,
"Puebla de Zaragoza",,1525896,,,,,
,,,,"Robo en calle",,439477,28.8012420243581
,,,,"Extorsión",,277987,18.2179519443003
,,,,"Fraude bancario",,143921,9.4319009945632
,,,,"Robo parcial de vehículo",,125167,8.20285261905136
,,,,"Fraude al consumidor",,118002,7.73329243932745
,,,,"Total",,1104554,72.3872400216004
,,,,,,,
"Querétaro",,591872,,,,,
,,,,"Extorsión",,93716,15.8338289359862
,,,,"Fraude bancario",,73161,12.3609496647924
,,,,"Robo en calle",,66873,11.2985577962803
,,,,"Vandalismo",,63749,10.7707409710208
,,,,"Fraude al consumidor",,54824,9.26281358131488
,,,,"Total",,352323,59.5268909493945
,,,,,,,
"Quintana Roo",,486599,,,,,
,,,,"Robo en calle",,84785,17.4239979942417
,,,,"Fraude bancario",,75275,15.4696166658789
,,,,"Robo en casa",,48409,9.94843803624751
,,,,"Amenazas verbales",,45215,9.29204540083313
,,,,"Extorsión",,44277,9.09927887233636
,,,,"Total",,297961,61.2333769695375
,,,,,,,
"San Luis Potosí",,704438,,,,,
,,,,"Extorsión",,136952,19.4413135009752
,,,,"Robo en calle",,90259,12.8129090139941
,,,,"Robo parcial de vehículo",,67989,9.65152362592591
,,,,"Fraude bancario",,66169,9.39316164091091
,,,,"Fraude al consumidor",,61756,8.76670480581684
,,,,"Total",,423125,60.065612587623
,,,,,,,
"Sinaloa",,498223,,,,,
,,,,"Extorsión",,111670,22.4136581410332
,,,,"Robo en calle",,56904,11.4213916258382
,,,,"Fraude bancario",,56414,11.3230420915935
,,,,"Amenazas verbales",,47612,9.5563633152223
,,,,"Fraude al consumidor",,44633,8.95843828968153
,,,,"Total",,317233,63.6728934633688
,,,,,,,
"Sonora",,768314,,,,,
,,,,"Otro tipo de robo",,174584,22.7230012729171
,,,,"Extorsión",,110106,14.330859518374
,,,,"Robo parcial de vehículo",,84781,11.0346811329743
,,,,"Fraude al consumidor",,64748,8.42728363663815
,,,,"Amenazas verbales",,62663,8.1559102137928
,,,,"Total",,496882,64.6717357746963
,,,,,,,
"Tabasco",,616314,,,,,
,,,,"Robo en calle",,120878,19.6130543846156
,,,,"Otro tipo de robo",,117978,19.142515016696
,,,,"Extorsión",,67532,10.9574015842574
,,,,"Amenazas verbales",,67440,10.9424741284475
,,,,"Fraude al consumidor",,54851,8.89984650681309
,,,,"Total",,428679,69.5552916208296
,,,,,,,
"Tamaulipas",,536465,,,,,
,,,,"Extorsión",,114025,21.2548814927348
,,,,"Fraude bancario",,65708,12.2483293411499
,,,,"Robo en calle",,64479,12.0192370424911
,,,,"Amenazas verbales",,55337,10.3151184140624
,,,,"Robo en casa",,51968,9.68711845134352
,,,,"Total",,351517,65.5246847417819
,,,,,,,
"Tlaxcala",,281782,,,,,
,,,,"Extorsión",,45361,16.0979054730252
,,,,"Fraude bancario",,40850,14.4970225209559
,,,,"Robo en calle",,39444,13.9980552341881
,,,,"Amenazas verbales",,29848,10.5925857577844
,,,,"Hostigamiento sexual",,24146,8.56903563747862
,,,,"Total",,179649,63.7546046234323
,,,,,,,
"Veracruz Llave",,1144982,,,,,
,,,,"Extorsión",,239345,20.9038220688185
,,,,"Robo en calle",,159383,13.920131495517
,,,,"Amenazas verbales",,131190,11.457822044364
,,,,"Fraude bancario",,128295,11.2049796416014
,,,,"Robo en casa",,108751,9.49805324450515
,,,,"Total",,766964,66.984808494806
,,,,,,,
"Yucatán",,384599,,,,,
,,,,"Fraude bancario",,54700,14.2226058830106
,,,,"Fraude al consumidor",,51751,13.4558332184951
,,,,"Amenazas verbales",,50376,13.0983179883463
,,,,"Extorsión",,49301,12.8188060811391
,,,,"Otro tipo de robo",,35679,9.27693519743941
,,,,"Total",,241807,62.8724983684305
,,,,,,,
"Zacatecas",,259906,,,,,
,,,,"Extorsión",,73848,28.4133494417212
,,,,"Amenazas verbales",,29469,11.3383300116196
,,,,"Fraude al consumidor",,23207,8.92899740675475
,,,,"Vandalismo",,23200,8.92630412533762
,,,,"Robo parcial de vehículo",,20540,7.90285718682908
,,,,"Total",,170264,65.5098381722623
,,,,,,,
"No especificado",,54133,,,,,
,,,,"Fraude bancario",,33291,61.4985313948978
,,,,"Amenazas verbales",,9494,17.5382853342693
,,,,"Fraude al consumidor",,5348,9.87937117839396
,,,,"Robo parcial de vehículo",,2238,4.13426191047974
,,,,"Extorsión",,1613,2.97969815085068
,,,,"Total",,51984,96.0301479688914
,,,,,,,
