"","NA.","NA..1","NA..2","NA..3","Tipo","NA..4","Absolutos","Relativos"
"201","Sonora",,768314,,,,,
"202",,,,,"Otro tipo de robo",,174584,22.7230012729171
"203",,,,,"Extorsión",,110106,14.330859518374
"204",,,,,"Robo parcial de vehículo",,84781,11.0346811329743
"205",,,,,"Fraude al consumidor",,64748,8.42728363663815
"206",,,,,"Amenazas verbales",,62663,8.1559102137928
"207",,,,,"Total",,496882,64.6717357746963
"208",,,,,,,,
"209","Tabasco",,616314,,,,,
"210",,,,,"Robo en calle",,120878,19.6130543846156
"211",,,,,"Otro tipo de robo",,117978,19.142515016696
"212",,,,,"Extorsión",,67532,10.9574015842574
"213",,,,,"Amenazas verbales",,67440,10.9424741284475
"214",,,,,"Fraude al consumidor",,54851,8.89984650681309
"215",,,,,"Total",,428679,69.5552916208296
"216",,,,,,,,
"217","Tamaulipas",,536465,,,,,
"218",,,,,"Extorsión",,114025,21.2548814927348
"219",,,,,"Fraude bancario",,65708,12.2483293411499
"220",,,,,"Robo en calle",,64479,12.0192370424911
"221",,,,,"Amenazas verbales",,55337,10.3151184140624
"222",,,,,"Robo en casa",,51968,9.68711845134352
"223",,,,,"Total",,351517,65.5246847417819
"224",,,,,,,,
"225","Tlaxcala",,281782,,,,,
"226",,,,,"Extorsión",,45361,16.0979054730252
"227",,,,,"Fraude bancario",,40850,14.4970225209559
"228",,,,,"Robo en calle",,39444,13.9980552341881
"229",,,,,"Amenazas verbales",,29848,10.5925857577844
"230",,,,,"Hostigamiento sexual",,24146,8.56903563747862
"231",,,,,"Total",,179649,63.7546046234323
"232",,,,,,,,
"233","Veracruz Llave",,1144982,,,,,
"234",,,,,"Extorsión",,239345,20.9038220688185
"235",,,,,"Robo en calle",,159383,13.920131495517
"236",,,,,"Amenazas verbales",,131190,11.457822044364
"237",,,,,"Fraude bancario",,128295,11.2049796416014
"238",,,,,"Robo en casa",,108751,9.49805324450515
"239",,,,,"Total",,766964,66.984808494806
"240",,,,,,,,
"241","Yucatán",,384599,,,,,
"242",,,,,"Fraude bancario",,54700,14.2226058830106
"243",,,,,"Fraude al consumidor",,51751,13.4558332184951
"244",,,,,"Amenazas verbales",,50376,13.0983179883463
"245",,,,,"Extorsión",,49301,12.8188060811391
"246",,,,,"Otro tipo de robo",,35679,9.27693519743941
"247",,,,,"Total",,241807,62.8724983684305
"248",,,,,,,,
"249","Zacatecas",,259906,,,,,
"250",,,,,"Extorsión",,73848,28.4133494417212
"251",,,,,"Amenazas verbales",,29469,11.3383300116196
"252",,,,,"Fraude al consumidor",,23207,8.92899740675475
"253",,,,,"Vandalismo",,23200,8.92630412533762
"254",,,,,"Robo parcial de vehículo",,20540,7.90285718682908
"255",,,,,"Total",,170264,65.5098381722623
"256",,,,,,,,
"257","No especificado",,54133,,,,,
"258",,,,,"Fraude bancario",,33291,61.4985313948978
"259",,,,,"Amenazas verbales",,9494,17.5382853342693
"260",,,,,"Fraude al consumidor",,5348,9.87937117839396
"261",,,,,"Robo parcial de vehículo",,2238,4.13426191047974
"262",,,,,"Extorsión",,1613,2.97969815085068
"263",,,,,"Total",,51984,96.0301479688914
"264",,,,,,,,
